"Kingdom","Phylum","Class","Order","Family","Genus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales unclassified","Gemella"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Asaccharobacter"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella"
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Enterorhabdus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales unclassified","Intestinimonas"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales unclassified","Lawsonibacter"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Hungatella"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XIII Incertae Sedis","Mogibacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas"
